objectname,RA,DEC,period,R2,sector
TIC 129455317,343.4235599,37.93850232,0.320692838,0.999975013,"[56, 16]"
TIC 197933923,59.39157147,-54.35738239,0.489967878,0.999972553,"[29, 30, 3, 4, 31]"
TIC 357372327,218.127245,50.82796838,0.420659421,0.999970861,"[23, 22, 50, 49, 16]"
TIC 161563111,309.3338679,35.43619182,0.717269896,0.999967462,"[14, 15, 41]"
TIC 300443831,111.7546777,-69.51534503,0.847231548,0.999963456,"[65, 6, 27, 30, 35, 2, 32, 37, 64, 62, 34, 5, 63, 31, 38, 61, 10, 36, 29, 33, 28, 66]"
TIC 229687624,262.9885266,57.17843194,0.617437463,0.9999624,"[22, 16, 17, 19, 20, 48, 60, 49, 41, 54, 58, 47, 26, 23, 59, 57, 53, 21, 40, 51, 56, 14, 55, 15, 52, 18, 24, 50]"
TIC 13345143,78.880196,-28.750592,0.671783358,0.999959892,"[6, 32, 5]"
TIC 219750638,261.1122847,64.20663661,0.407253394,0.999957735,"[24, 22, 49, 16, 48, 23, 60, 53, 41, 25, 55, 59, 14, 15, 56, 52, 18, 40, 58, 51, 21, 26, 20, 50]"
TIC 13135572,76.73736225,-29.60247048,0.398150263,0.999957505,[5]
TIC 435229992,351.3549531,15.68865113,0.59270994,0.999956334,[56]
TIC 237915523,56.1855569,-61.09825611,0.332194321,0.999954308,"[30, 11, 29, 38, 1, 3, 65, 2, 28, 4]"
TIC 365056605,20.26481537,7.606005111,0.476051276,0.999953818,"[42, 43]"
TIC 461662516,124.3638845,51.8630392,0.373142904,0.999952714,"[20, 47]"
TIC 198560607,255.3410406,42.16386531,0.370298631,0.999952363,"[25, 26, 24]"
TIC 163965682,321.2514885,33.68748253,0.78651293,0.999951057,"[55, 15, 56]"
TIC 179244391,79.63560612,-68.2257715,0.285581528,0.999949921,"[61, 66, 65, 62, 64, 6, 63, 4]"
TIC 120607386,4.691119658,-39.67726181,0.41375033,0.99994989,"[2, 29]"
TIC 201425836,92.19778609,-34.41656517,0.662035835,0.999948809,[33]
TIC 31655792,46.57188415,-68.20823853,0.416362402,0.99994721,"[3, 1, 27, 30, 2]"
TIC 166660531,207.9822457,-36.62356493,0.343357413,0.999946458,"[38, 11, 64]"
TIC 408518243,14.14954208,10.67355984,0.439606331,0.999945678,[42]
TIC 398673007,13.87351488,-11.10969425,0.543616111,0.99994406,[3]
TIC 140627676,70.69267379,72.97830005,0.498206542,0.999943185,"[25, 52, 26, 19, 59, 53]"
TIC 290410988,235.807507,-86.801999,0.285952928,0.99994003,"[13, 66, 65, 12]"
TIC 229889119,198.84956,-24.179584,0.887385671,0.999939228,"[10, 64]"
TIC 22017780,195.8183722,36.61684592,0.384336416,0.999938739,"[22, 49, 23]"
TIC 402227266,220.6774,-74.31154675,0.294850556,0.999938389,"[66, 65]"
TIC 41232835,91.98049019,-66.36026498,0.239398124,0.999937992,"[64, 63, 7, 66, 62, 65, 61, 11, 1, 10, 4]"
TIC 422327572,203.192295,-17.758987,0.409587698,0.99993794,"[37, 10]"
TIC 47352608,162.6238328,-2.69529785,0.443453391,0.999937143,"[46, 62, 45, 9]"
TIC 365428002,48.50322642,11.45031799,0.578984753,0.999936766,"[4, 43, 44, 42]"
TIC 128069821,92.43868432,41.55045913,0.680618203,0.999936573,[60]
TIC 51566969,305.3944201,15.4271067,0.476632127,0.999936368,"[54, 55]"
TIC 198416591,260.0911976,57.97418094,0.338871894,0.999936256,"[52, 51, 22, 19, 58, 40, 14, 47, 17, 60, 25, 49, 48, 18, 23, 20, 56, 26, 16, 59, 24, 54, 21, 57, 53, 41, 15, 50]"
TIC 152362660,65.26182967,-26.49098728,0.395988977,0.99993546,[5]
TIC 240706234,10.0261162,50.23764338,0.233738661,0.999935007,"[57, 58, 17]"
TIC 141782808,117.6502172,-18.94059913,0.41753372,0.999931954,[34]
TIC 259901124,41.40403465,-71.23595746,0.455713484,0.999931038,"[2, 13, 1, 27, 29]"
TIC 100765074,311.4133084,-51.04529154,0.453495674,0.999930578,[27]
TIC 47831368,221.5793153,-35.69627912,0.366065549,0.999930478,"[65, 11]"
TIC 316333039,188.2285041,54.79524842,0.824271764,0.999930166,"[22, 49, 15, 48]"
TIC 326242641,41.27993635,-18.13250547,0.364989977,0.999929594,[4]
TIC 279161495,103.2100119,-56.75015632,0.887052576,0.999929246,"[33, 28, 31, 36, 29, 35, 37, 30, 38, 27, 32, 39]"
TIC 144194304,327.9727075,-42.37320292,0.483582323,0.999927802,"[28, 1]"
TIC 441128066,39.63825126,-14.29909036,0.440569154,0.999927666,[4]
TIC 143100813,256.8201895,17.42684214,0.387806303,0.999927595,"[52, 25]"
TIC 76873464,87.55469081,26.96204504,0.344962997,0.999927366,[43]
TIC 320536498,120.0442304,9.856960232,0.410853441,0.99992677,"[46, 61, 45, 7, 44]"
TIC 82224114,150.934449,28.23239376,0.375942544,0.999926757,[21]
TIC 348897766,106.0341078,-63.43075018,0.442094868,0.999926741,"[37, 28, 3, 27, 4, 6, 10, 1, 34, 31, 35, 5, 63, 61, 33, 9, 65, 39, 36, 29, 7, 30, 13, 64, 8, 11]"
TIC 441734144,258.5581599,76.70397497,0.325321781,0.999925301,"[14, 16, 55, 41, 54, 24, 19, 21, 47, 58, 60, 40, 50, 48, 49, 53, 25, 22, 52, 26, 18, 17, 56, 57, 51]"
TIC 117515123,339.8517167,-46.87560464,0.259502075,0.999924443,[1]
TIC 82120025,197.6342247,-4.159040172,0.311309867,0.999923349,[46]
TIC 178938437,68.35356495,-23.93880631,0.623217197,0.999923194,[5]
TIC 5283033,107.7410673,-3.878655263,0.67767719,0.999922623,[33]
TIC 74073423,83.09282062,25.35210859,0.307467423,0.999922361,[43]
TIC 213067604,75.51552592,-2.802081425,0.321990073,0.999922119,[5]
TIC 11598102,20.38732383,-29.13131113,0.423319453,0.999921782,[3]
TIC 152592870,65.1979816,-45.25790611,0.513440053,0.999921063,"[31, 32, 4]"
TIC 55753802,181.5824655,57.17644136,0.415880621,0.999920653,"[41, 48, 15, 22, 21]"
TIC 358790031,161.2782167,16.33768899,0.408440025,0.999919871,"[22, 45, 46]"
TIC 9070070,356.8264397,-8.086693709,0.48133844,0.999918765,[2]
TIC 381950094,76.68788332,-59.05095994,0.426942851,0.999918209,"[34, 28, 3, 5, 36, 32, 4, 29, 35, 37, 6, 2, 38, 27, 30, 31, 33, 10, 12, 39, 9, 7, 8, 13]"
TIC 219738202,241.5723634,62.76280269,0.579170544,0.999917523,"[58, 17, 55, 57, 41, 24, 47, 25, 16, 56, 48, 21, 23, 49, 15, 22, 54, 52, 50, 51, 18]"
TIC 268652258,17.44072624,-20.21650114,0.256349793,0.999917325,[3]
TIC 267043786,4.339640834,-71.91579132,0.594804861,0.99991659,"[27, 1, 28]"
TIC 342148566,239.7766847,-63.29705413,0.266885209,0.999916346,"[66, 65]"
TIC 242328834,212.6719193,-47.76899673,0.393903807,0.999916271,"[65, 38, 11]"
TIC 139703005,66.49419764,-21.48255141,0.332108812,0.999916136,[5]
TIC 235000061,351.065056,-62.368523,0.357721231,0.999914671,[1]
TIC 141148818,178.9084893,47.25739889,0.710658651,0.999914556,"[48, 49]"
TIC 16617827,307.7718817,38.7834783,0.290487494,0.999914009,"[41, 15, 55]"
TIC 47309500,231.0353601,-56.83743373,0.386601237,0.999913859,"[65, 12]"
TIC 176958076,101.217426,-66.615788,0.403149397,0.999912387,"[8, 13, 3, 10, 7, 2, 4, 11, 5, 9, 1, 12]"
TIC 374265995,347.883692,36.89308533,0.33176077,0.999911697,"[56, 16, 57]"
TIC 355651035,358.5990217,-57.94091542,0.583868059,0.999911335,[2]
TIC 233207585,266.0013916,70.2588383,0.308036421,0.999911107,"[19, 49, 51, 24, 14, 58, 52, 41, 60, 16, 23, 18, 22, 48, 57, 59, 25, 53, 55, 17, 21, 26, 15, 54]"
TIC 246893580,9.117042405,-25.67303676,0.512073882,0.999910758,[29]
TIC 401760851,338.0149247,-78.88154748,0.279315446,0.999910564,[27]
TIC 97578357,106.971039,-34.83339756,0.36740466,0.999910457,"[33, 61, 34]"
TIC 152507230,63.57649803,-46.44919726,0.311794716,0.999910122,"[5, 4]"
TIC 198457457,261.8344024,56.37497584,0.40353425,0.999910066,"[24, 57, 56, 49, 18, 19, 58, 59, 15, 16, 17, 23, 41, 48, 22, 60, 53, 47, 20, 52, 21, 51, 26, 40, 55, 54, 50]"
TIC 118268204,31.07669618,24.00063671,0.406162266,0.99990952,"[42, 43]"
TIC 61011477,37.77805435,22.19831524,0.396063402,0.999908246,"[42, 44, 43]"
TIC 441764197,261.026237,73.91050782,0.273011791,0.999908172,"[57, 58, 56, 26, 60, 49, 51]"
TIC 243352373,290.2686322,56.3283295,0.334361364,0.999907954,"[40, 41, 14, 56, 54, 20, 57, 16, 59, 26, 60, 53, 23, 15, 50, 55]"
TIC 468293391,7.116532919,78.96184917,0.317366653,0.999907818,"[58, 26, 24, 52, 19, 18]"
TIC 201291281,2.69732,-57.48678,0.809915424,0.999906485,"[2, 1]"
TIC 279484342,58.68239287,-14.93518053,0.632971934,0.999906392,"[5, 4]"
TIC 161262226,341.2046078,-48.17024691,0.307261816,0.999905905,[1]
TIC 243319567,289.7003303,55.59433861,0.439247368,0.999905595,"[41, 54, 57, 14, 56, 40, 15, 60, 26, 23, 16, 53, 59, 55]"
TIC 22457438,186.889632,-18.608055,0.360417207,0.999905558,[10]
TIC 32200310,332.4455443,-27.06708848,0.36033903,0.999905179,[1]
TIC 29287800,237.6351428,37.83543148,0.376565683,0.999904963,[24]
TIC 333870949,309.3401035,75.60052477,0.278432704,0.999903886,"[53, 52, 57, 23, 58, 26, 25, 24, 17, 60, 19]"
TIC 314459000,319.1213059,55.38617321,0.857362912,0.999903368,"[57, 16, 15, 17, 56]"
TIC 174157888,351.7778556,45.55611624,0.380383437,0.999903247,"[17, 57]"
TIC 199497213,198.7551618,21.23158245,0.427611255,0.999902659,"[23, 50]"
TIC 8673277,248.7581549,33.21326957,0.420851909,0.999902536,"[24, 51, 52, 25]"
TIC 388179896,51.89797134,-72.84865466,0.309785791,0.999902398,"[66, 9, 6, 2, 3, 62, 63, 13]"
TIC 229461186,295.1026299,60.92027458,0.402792885,0.999901879,"[55, 57, 54, 47, 16, 41, 17, 14, 20, 48, 56, 40, 15, 23, 60, 59, 21, 58, 51, 53, 50, 18]"
TIC 38687360,57.97225991,-10.53040731,0.507301151,0.999901578,"[31, 5]"
TIC 363570632,171.8470029,4.705184977,0.446755381,0.999901224,"[46, 45]"
TIC 254303140,5.86666972,-20.69722794,0.414743119,0.999900611,[29]
TIC 237222530,296.2363549,74.78585717,0.535112536,0.999900478,"[48, 49, 47, 52, 50, 51, 53]"
TIC 423833748,62.65624805,-38.92805201,0.426946347,0.999900351,"[4, 5]"
TIC 157175641,175.7003389,-35.81597312,0.370207653,0.999899911,"[36, 63, 10, 37]"
TIC 364028674,267.266035,18.4217273,0.637205699,0.999899524,[26]
TIC 467691154,61.20548113,33.95699883,0.373143684,0.999899441,[59]
TIC 387463207,42.46787722,8.938122496,0.379998069,0.999899238,"[43, 42, 44, 4]"
TIC 160082094,223.6084355,86.72706107,0.337157248,0.999899,"[40, 53, 47, 52]"
TIC 323442776,70.8999163,-84.81109545,1.148166502,0.999898368,"[39, 65, 12, 27, 13, 66]"
TIC 188766090,261.105328,49.64368331,0.529359186,0.999898108,"[24, 26, 25]"
TIC 88646716,135.8505252,38.09849926,0.414887239,0.999898048,[21]
TIC 98777963,44.99043003,-16.45566584,0.844420142,0.999897351,"[4, 31]"
TIC 340782794,19.15862735,-39.70870366,0.379915979,0.999896537,"[2, 3]"
TIC 158565141,222.3652286,57.29863449,0.275251045,0.999896462,"[15, 50, 22, 16, 49, 23]"
TIC 22457437,186.8898129,-18.60776664,0.360528508,0.999896445,[63]
