objectname,RA,DEC,period,PeriodError,magdata,sector,R2
TIC 129455317,343.4235599,37.93850232,0.320692838,6.614553963404272e-05,0.794190692,"[56, 16]",0.999975013
TIC 197933923,59.39157147,-54.35738239,0.489967878,0.0002506813198061,0.670982469,"[29, 30, 3, 4, 31]",0.999972553
TIC 357372327,218.127245,50.82796838,0.420659421,0.0002868820550931,0.528187528,"[23, 22, 50, 49, 16]",0.999970861
TIC 161563111,309.3338679,35.43619182,0.717269896,0.000156232750697,0.561148582,"[14, 15, 41]",0.999967462
TIC 300443831,111.7546777,-69.51534503,0.847231548,0.0012951798758657,0.288583542,"[65, 6, 27, 30, 35, 2, 32, 37, 64, 62, 34, 5, 63, 31, 38, 61, 10, 36, 29, 33, 28, 66]",0.999963456
TIC 229687624,262.9885266,57.17843194,0.617437463,0.0006479953240611,0.421509042,"[22, 16, 17, 19, 20, 48, 60, 49, 41, 54, 58, 47, 26, 23, 59, 57, 53, 21, 40, 51, 56, 14, 55, 15, 52, 18, 24, 50]",0.9999624
TIC 13345143,78.880196,-28.750592,0.671783358,0.0001255619424144,0.392338762,"[6, 32, 5]",0.999959892
TIC 219750638,261.1122847,64.20663661,0.407253394,0.0001589614769802,0.442777121,"[24, 22, 49, 16, 48, 23, 60, 53, 41, 25, 55, 59, 14, 15, 56, 52, 18, 40, 58, 51, 21, 26, 20, 50]",0.999957735
TIC 13135572,76.73736225,-29.60247048,0.398150263,9.307598115506632e-05,0.617574045,[5],0.999957505
TIC 435229992,351.3549531,15.68865113,0.59270994,0.0001062890745074,0.323045086,[56],0.999956334
TIC 237915523,56.1855569,-61.09825611,0.332194321,0.000119514037657,0.427495464,"[30, 11, 29, 38, 1, 3, 65, 2, 28, 4]",0.999954308
TIC 365056605,20.26481537,7.606005111,0.476051276,0.0001318286270188,0.346740435,"[42, 43]",0.999953818
TIC 461662516,124.3638845,51.8630392,0.373142904,8.217986339443856e-05,0.449409534,"[20, 47]",0.999952714
TIC 198560607,255.3410406,42.16386531,0.370298631,7.73743784407529e-05,0.521521491,"[25, 26, 24]",0.999952363
TIC 163965682,321.2514885,33.68748253,0.78651293,0.0001273922396354,0.385469123,"[55, 15, 56]",0.999951057
TIC 179244391,79.63560612,-68.2257715,0.285581528,5.759282777489986e-05,0.635346296,"[61, 66, 65, 62, 64, 6, 63, 4]",0.999949921
TIC 120607386,4.691119658,-39.67726181,0.41375033,8.258526434332427e-05,0.26866122,"[2, 29]",0.99994989
TIC 201425836,92.19778609,-34.41656517,0.662035835,0.0001261588626988,0.436716494,[33],0.999948809
TIC 31655792,46.57188415,-68.20823853,0.416362402,6.77356789285561e-05,0.42749056,"[3, 1, 27, 30, 2]",0.99994721
TIC 166660531,207.9822457,-36.62356493,0.343357413,0.0001798039624137,0.409434851,"[38, 11, 64]",0.999946458
TIC 408518243,14.14954208,10.67355984,0.439606331,0.0001462217133668,0.361718324,[42],0.999945678
TIC 398673007,13.87351488,-11.10969425,0.543616111,0.0005947322429637,0.407442107,[3],0.99994406
TIC 140627676,70.69267379,72.97830005,0.498206542,0.0004120280846584,0.513325419,"[25, 52, 26, 19, 59, 53]",0.999943185
TIC 290410988,235.807507,-86.801999,0.285952928,5.567165154185669e-05,0.688884191,"[13, 66, 65, 12]",0.99994003
TIC 229889119,198.84956,-24.179584,0.887385671,0.0001234569906099,0.366100285,"[10, 64]",0.999939228
TIC 22017780,195.8183722,36.61684592,0.384336416,0.0001086404972265,0.433598458,"[22, 49, 23]",0.999938739
TIC 402227266,220.6774,-74.31154675,0.294850556,5.404403910463927e-05,0.474385255,"[66, 65]",0.999938389
TIC 41232835,91.98049019,-66.36026498,0.239398124,8.814956860944143e-05,0.475473679,"[64, 63, 7, 66, 62, 65, 61, 11, 1, 10, 4]",0.999937992
TIC 422327572,203.192295,-17.758987,0.409587698,9.129712137472672e-05,0.387053009,"[37, 10]",0.99993794
